1    :  AukMa830            , 单日浮动：136.75
2    :  3usi9c              , 单日浮动：128.66
3    :  MrMAXDOGGG          , 单日浮动：124.55
4    :  _HalfcupTeA_        , 单日浮动：108.13
5    :  han4yok1            , 单日浮动： 91.67
6    :  Podarker            , 单日浮动： 86.46
7    :  rewrite1999         , 单日浮动： 83.83
8    :  VN_Vital            , 单日浮动： 82.65
9    :  Takina_sakanaaa     , 单日浮动： 73.90
10   :  LINYUSHJIE          , 单日浮动： 69.82
11   :  jiamianju121        , 单日浮动： 69.24
12   :  torororot           , 单日浮动： 68.02
13   :  NCJAND              , 单日浮动： 63.78
14   :  wiNdmeister-6       , 单日浮动： 63.54
15   :  xilingdang          , 单日浮动： 62.36
16   :  5445912             , 单日浮动： 62.20
17   :  STsharpteeth        , 单日浮动： 60.96
18   :  ModeMamoriXIE       , 单日浮动： 57.86
19   :  liangye8171         , 单日浮动： 52.03
20   :  _Akizuzi_Kanna      , 单日浮动： 49.53
21   :  zzBuomXinhzz        , 单日浮动： 49.44
22   :  JHHFHHH             , 单日浮动： 45.94
23   :  Blade5584           , 单日浮动： 45.21
24   :  BePromiseOfLove     , 单日浮动： 43.71
25   :  xiaoshuai1234       , 单日浮动： 43.48
26   :  MH165467            , 单日浮动： 43.43
27   :  iiTzTimmy_KK        , 单日浮动： 42.98
28   :  RUNnnn1             , 单日浮动： 42.12
29   :  LIHONGYY            , 单日浮动： 41.17
30   :  YYYYPPYYYY          , 单日浮动： 40.72
31   :  xiaohr2021          , 单日浮动： 39.02
32   :  Kirara-kawaiiQwQ    , 单日浮动： 38.84
33   :  adobecreative2      , 单日浮动： 38.54
34   :  Mank998             , 单日浮动： 38.53
35   :  MegurineLuki        , 单日浮动： 38.50
36   :  DouYin_YL666        , 单日浮动： 38.41
37   :  DawnBreaker_cn      , 单日浮动： 38.39
38   :  EXtremelyrapid      , 单日浮动： 38.08
39   :  -FLC-sooty          , 单日浮动： 37.62
40   :  BK0717_OW           , 单日浮动： 36.61
41   :  zhen-can-nian       , 单日浮动： 36.45
42   :  Docter-P            , 单日浮动： 36.20
43   :  TheFlreKeeper       , 单日浮动： 36.16
44   :  m3_darth-mike       , 单日浮动： 36.07
45   :  xingwei686          , 单日浮动： 36.05
46   :  Greenp1ayer         , 单日浮动： 35.98
47   :  GUGUkkakka          , 单日浮动： 34.79
48   :  kumamon2255         , 单日浮动： 34.63
49   :  L0VE_Tenshl         , 单日浮动： 34.55
50   :  rwghf               , 单日浮动： 34.32
51   :  Niyuanbaba          , 单日浮动： 33.86
52   :  libasen             , 单日浮动： 32.58
53   :  Ljasmine-MoLi       , 单日浮动： 32.16
54   :  _FullcupTeA_        , 单日浮动： 31.47
55   :  StarRailFPS         , 单日浮动： 31.12
56   :  dadiaopohuaizhe     , 单日浮动： 30.78
57   :  AliceCiallo         , 单日浮动： 30.65
58   :  6xiaoWEN66          , 单日浮动： 30.58
59   :  tuyufan666          , 单日浮动： 30.42
60   :  CNMSIGUABI          , 单日浮动： 30.18
61   :  41sy41              , 单日浮动： 29.44
62   :  ksdjfgjs            , 单日浮动： 29.34
63   :  -Ken1VeDyFPS-_1     , 单日浮动： 29.24
64   :  LouGaoBaiChi        , 单日浮动： 28.50
65   :  Helenkale           , 单日浮动： 28.50
66   :  Tnoaia              , 单日浮动： 28.49
67   :  H1muaP0wer          , 单日浮动： 27.91
68   :  AreYouGenshinPRO    , 单日浮动： 27.66
69   :  Zzdwillhelpyou      , 单日浮动： 27.48
70   :  harlyvangogh        , 单日浮动： 27.26
71   :  LAXWUDULAX          , 单日浮动： 27.21
72   :  takokyubu           , 单日浮动： 27.10
73   :  GonkaOvO            , 单日浮动： 26.77
74   :  78mtmqt04ddv        , 单日浮动： 26.76
75   :  pdeng8632           , 单日浮动： 26.75
76   :  llk-lucky           , 单日浮动： 26.63
77   :  harspri7idp5        , 单日浮动： 26.52
78   :  wcnm188             , 单日浮动： 26.24
79   :  zgfjswlcy           , 单日浮动： 26.08
80   :  3047503438          , 单日浮动： 25.89
81   :  seraphRious         , 单日浮动： 25.80
82   :  6767666888          , 单日浮动： 25.75
83   :  EthelaQr            , 单日浮动： 25.69
84   :  pattyscracked       , 单日浮动： 25.34
85   :  HalfCar             , 单日浮动： 25.27
86   :  KaiShuiKUN          , 单日浮动： 25.11
87   :  populence           , 单日浮动： 24.72
88   :  luojiayonyuan       , 单日浮动： 24.54
89   :  sumnusjack          , 单日浮动： 23.79
90   :  WYDYX               , 单日浮动： 23.43
91   :  WhySoHungryyy       , 单日浮动： 23.24
92   :  meoguin             , 单日浮动： 22.87
93   :  nBbBbBbBbB666       , 单日浮动： 22.62
94   :  J0ngleuR            , 单日浮动： 22.53
95   :  wsqz2005            , 单日浮动： 22.42
96   :  hytvljh             , 单日浮动： 22.34
97   :  bismark__omo        , 单日浮动： 22.12
98   :  slzz2008            , 单日浮动： 22.01
99   :  alunjb18cm          , 单日浮动： 22.00
100  :  lSh0wSpeed2         , 单日浮动： 21.96
101  :  Command_Zou         , 单日浮动： 21.87
102  :  yuanru66            , 单日浮动： 21.72
103  :  Zambbber1           , 单日浮动： 21.57
104  :  Xiaoyuhaoer2        , 单日浮动： 21.19
105  :  lzz407              , 单日浮动： 21.17
106  :  coster53            , 单日浮动： 21.07
107  :  lunyitianxiadiyi    , 单日浮动： 21.04
108  :  Rinchann            , 单日浮动： 21.01
109  :  jackjackmm          , 单日浮动： 20.84
110  :  WolfAshSir          , 单日浮动： 20.83
111  :  ChazZzZ7            , 单日浮动： 20.54
112  :  janruo              , 单日浮动： 20.49
113  :  yangxin2022         , 单日浮动： 20.35
114  :  wdfemk              , 单日浮动： 20.30
115  :  cz429               , 单日浮动： 20.10
116  :  ventus2023          , 单日浮动： 19.77
117  :  -Sapph1ree_0-       , 单日浮动： 19.68
118  :  L1bertyc            , 单日浮动： 19.62
