1    :  dingxiong990301     , 单日浮动：195.93
2    :  M1916Man-UMASKSP    , 单日浮动：154.23
3    :  2321ow0             , 单日浮动：113.82
4    :  YIGENFRENCHFRIES    , 单日浮动：102.37
5    :  ShanPao95-on1TAP    , 单日浮动： 98.03
6    :  yuyutututu          , 单日浮动： 97.70
7    :  Suzume039           , 单日浮动： 97.32
8    :  110010ld            , 单日浮动： 93.78
9    :  KreaMars            , 单日浮动： 87.50
10   :  SDTZ-legendYEM-W    , 单日浮动： 87.17
11   :  LLOXVYE777          , 单日浮动： 85.80
12   :  TnoLB               , 单日浮动： 85.68
13   :  QlANNIAORUIQIANG    , 单日浮动： 83.91
14   :  Pause_bravo         , 单日浮动： 82.75
15   :  Nightmare23-bili    , 单日浮动： 81.01
16   :  PlayGenshiImpact    , 单日浮动： 80.88
17   :  Agroupofcat         , 单日浮动： 80.47
18   :  StarRailFPS         , 单日浮动： 73.90
19   :  DelayN0moreH1gh     , 单日浮动： 71.95
20   :  2107181             , 单日浮动： 67.45
21   :  wdfemk              , 单日浮动： 65.58
22   :  BePromiseOfLove     , 单日浮动： 65.37
23   :  kieep1              , 单日浮动： 64.90
24   :  Muchengwang         , 单日浮动： 61.88
25   :  cc16913             , 单日浮动： 61.16
26   :  nnnkjnkj            , 单日浮动： 58.50
27   :  RTX2800TI           , 单日浮动： 57.98
28   :  StanO814            , 单日浮动： 57.90
29   :  -BeITian14-         , 单日浮动： 54.82
30   :  gaqpzvh8pso0        , 单日浮动： 53.67
31   :  vankouzu            , 单日浮动： 53.56
32   :  qxl0216             , 单日浮动： 52.78
33   :  ncdhpy              , 单日浮动： 51.13
34   :  R0seAnneParking     , 单日浮动： 50.92
35   :  Zzdwillhelpyou      , 单日浮动： 50.67
36   :  King-Dingzhen       , 单日浮动： 50.57
37   :  Makura-Galgame      , 单日浮动： 50.37
38   :  Darthlcky           , 单日浮动： 50.10
39   :  2221817824          , 单日浮动： 50.06
40   :  -Wings_Evr          , 单日浮动： 49.42
41   :  Arisaka1937         , 单日浮动： 48.69
42   :  xiaohr2021          , 单日浮动： 48.35
43   :  KobeBryan1996       , 单日浮动： 47.44
44   :  liwenkai0629        , 单日浮动： 47.15
45   :  114514_Monster      , 单日浮动： 46.41
46   :  CNMSIGUABI          , 单日浮动： 44.87
47   :  nc_fory             , 单日浮动： 43.20
48   :  Guabi_S1Quanjia     , 单日浮动： 43.07
49   :  Seemannna           , 单日浮动： 42.63
50   :  PakoKuusta          , 单日浮动： 42.08
51   :  2001726             , 单日浮动： 41.44
52   :  RUNnnn1             , 单日浮动： 41.36
53   :  KWAEHEUNGTAE        , 单日浮动： 41.03
54   :  SolidLJ             , 单日浮动： 39.62
55   :  yanhao              , 单日浮动： 39.57
56   :  StayYouWithMe       , 单日浮动： 39.50
57   :  LadyLuckO-O         , 单日浮动： 39.08
58   :  topxiaodi233        , 单日浮动： 39.04
59   :  piccoleeOAO         , 单日浮动： 38.49
60   :  MwBTZm              , 单日浮动： 38.32
61   :  JuJu_aka_Annie      , 单日浮动： 38.31
62   :  LCRYQ               , 单日浮动： 38.06
63   :  danteaman           , 单日浮动： 38.03
64   :  Caikailun           , 单日浮动： 37.84
65   :  krypton-ddwa        , 单日浮动： 37.63
66   :  hdj246810           , 单日浮动： 36.73
67   :  WatchRhine          , 单日浮动： 36.49
68   :  wxh12315            , 单日浮动： 36.10
69   :  Tibpeu              , 单日浮动： 36.10
70   :  dancemm3mm          , 单日浮动： 35.92
71   :  mujiang09404        , 单日浮动： 35.82
72   :  yznn125             , 单日浮动： 35.65
73   :  wode78haochang      , 单日浮动： 35.19
74   :  p12312342           , 单日浮动： 35.17
75   :  intghj              , 单日浮动： 34.91
76   :  sxiaomilk           , 单日浮动： 34.65
77   :  weigong233          , 单日浮动： 34.51
78   :  Reivxy_17           , 单日浮动： 34.43
79   :  soyaaao             , 单日浮动： 34.26
80   :  By-Lumine           , 单日浮动： 33.66
81   :  DouYin_YL666        , 单日浮动： 33.53
82   :  GodTTu              , 单日浮动： 33.48
83   :  Kirara-kawaiiQwQ    , 单日浮动： 33.46
84   :  s123456679          , 单日浮动： 33.46
85   :  IMMORTALIZE         , 单日浮动： 33.41
86   :  BiliTV_823662       , 单日浮动： 33.27
87   :  ACGNmiku            , 单日浮动： 32.95
88   :  1428945167          , 单日浮动： 32.70
89   :  Hardykangkang       , 单日浮动： 32.32
90   :  linjianxiu          , 单日浮动： 32.29
